Name,Country,Query_Name,Latitude,Longitude,
Aber Benoit,France,ABER_BENOIT_MEAN_RENEAT,48.563119,-4.560159,"Harbor.create(name: ""Aber Benoit"", lat: 48.563119, lng: -4.560159, query: ""ABER_BENOIT_MEAN_RENEAT"")"
h,France,ABER_WRAC_H,46.227638,2.213749,"Harbor.create(name: ""h"", lat: 46.227638, lng: 2.213749, query: ""ABER_WRAC_H"")"
Aberdeen,Royaume-Uni,ABERDEEN_SCOTLAND,57.149717,-2.094278,"Harbor.create(name: ""Aberdeen"", lat: 57.149717, lng: -2.094278, query: ""ABERDEEN_SCOTLAND"")"
Aberdeen (USA),Etats-Unis,ABERDEEN,39.5095556,-76.16411970000001,"Harbor.create(name: ""Aberdeen (USA)"", lat: 39.5095556, lng: -76.16411970000001, query: ""ABERDEEN"")"
Abidjan-Vridi,Cote d,ABIDJAN-VRIDI,5.2959934,-3.9809145,"Harbor.create(name: ""Abidjan-Vridi"", lat: 5.2959934, lng: -3.9809145, query: ""ABIDJAN-VRIDI"")"
Abu Dhabi (Abu Zabi),Emirats Arabes Unis,MINA_ZAYED,24.2991738,54.6972774,"Harbor.create(name: ""Abu Dhabi (Abu Zabi)"", lat: 24.2991738, lng: 54.6972774, query: ""MINA_ZAYED"")"
Accra,Ghana,ACCRA,5.6037168,-0.1869644,"Harbor.create(name: ""Accra"", lat: 5.6037168, lng: -0.1869644, query: ""ACCRA"")"
Adak island,Etats-Unis (Aleoutiennes),SWEEPER_COVE,51.7615874,-176.6217472,"Harbor.create(name: ""Adak island"", lat: 51.7615874, lng: -176.6217472, query: ""SWEEPER_COVE"")"
Adelaide,Australie,PORT-ADELAIDE,-34.9284989,138.6007456,"Harbor.create(name: ""Adelaide"", lat: -34.9284989, lng: 138.6007456, query: ""PORT-ADELAIDE"")"
Aden (Adan),Yemen,ADEN,12.7854969,45.0186548,"Harbor.create(name: ""Aden (Adan)"", lat: 12.7854969, lng: 45.0186548, query: ""ADEN"")"
Agadir,Maroc,AGADIR,30.4277547,-9.5981072,"Harbor.create(name: ""Agadir"", lat: 30.4277547, lng: -9.5981072, query: ""AGADIR"")"
Aguirre,Argentine,AGUIRRE,-33.1564137,-60.51299059999999,"Harbor.create(name: ""Aguirre"", lat: -33.1564137, lng: -60.51299059999999, query: ""AGUIRRE"")"
Aitutaki,Nouvelle-Zelande,AITUTAKI,-18.8579523,-159.7852843,"Harbor.create(name: ""Aitutaki"", lat: -18.8579523, lng: -159.7852843, query: ""AITUTAKI"")"
Ajaccio,France,AJACCIO,41.919229,8.738635,"Harbor.create(name: ""Ajaccio"", lat: 41.919229, lng: 8.738635, query: ""AJACCIO"")"
Akassa,Nigeria,AKASSA,4.32973,6.062118,"Harbor.create(name: ""Akassa"", lat: 4.32973, lng: 6.062118, query: ""AKASSA"")"
Akureyri Eyjafjordur,Islande,AKUREYRI_EYJAFJORDUR,65.6923585,-18.1002732,"Harbor.create(name: ""Akureyri Eyjafjordur"", lat: 65.6923585, lng: -18.1002732, query: ""AKUREYRI_EYJAFJORDUR"")"
Alameda,Etats-Unis,ALAMEDA,37.7652065,-122.2416355,"Harbor.create(name: ""Alameda"", lat: 37.7652065, lng: -122.2416355, query: ""ALAMEDA"")"
Albany,Australie,ALBANY,-35.0275298,117.883959,"Harbor.create(name: ""Albany"", lat: -35.0275298, lng: 117.883959, query: ""ALBANY"")"
